Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,SILVA138_updated_classification,Name,Ecologically_relevant_classification,Ecologically_relevant_classification_aggregated,Ecologically_relevant_classification_aggregated_notes
577,OTU577,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EF574718.1.1497,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
1736,OTU1736,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EU188189.1.1494,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
869,OTU869,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,EU935239.1.1480,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
3000,OTU3000,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GQ274096.1.1523,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
3398,OTU3398,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GU108528.1.1398,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
257,OTU257,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GU451676.1.1235,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
143,OTU143,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,JN563820.1.1535,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
4145,OTU4145,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,JN874273.1.1457,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
516,OTU516,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,JQ860235.1.1434,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,g_Alteromonas,Alteromonas,Alteromonadales,
352,OTU352,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AY726942.1.1230,,g_Alteromonas,Alteromonas,Alteromonadales,
2372,OTU2372,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,CP001103.480922.482242,,g_Alteromonas,Alteromonas,Alteromonadales,
