"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU1043","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","AY663974.1.1239"
"OTU1273","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF061418.1.1459"
"OTU494","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ674163.1.1495"
"OTU1282","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF061414.1.1410"
"OTU1015","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","EU795202.6061.7596"
"OTU704","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","","","DQ513029.1.1499"
"OTU690","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672405.1.1502"
"OTU2792","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","GU001892.1.1497"
"OTU1039","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","JQ218646.1.1493"
"OTU398","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ673461.1.1475"
"OTU1214","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ673284.1.1501"
"OTU458","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ673606.1.1474"
"OTU2186","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina","AJ440215.1.1556"
"OTU1086","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","AY628694.1.1536"
"OTU577","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF574718.1.1497"
"OTU1111","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Salinimonas","AM941171.1.1407"
"OTU828","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","HM057641.1.1455"
"OTU378","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A clade","","","EF572288.1.1498"
"OTU341","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802924.1.1499"
"OTU842","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","FQ032823.12062.13572"
"OTU1573","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","uncultured","EF572378.1.1516"
"OTU910","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","DEV007","","DQ395548.1.1542"
"OTU305","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","AACY020552977.734.2233"
"OTU954","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AACY020147130.655.2082"
"OTU317","Bacteria","Cyanobacteria","Chloroplast","","","","HQ672023.1.1447"
"OTU1125","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AACY020187844.576.1995"
"OTU614","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","JQ226349.1.1312"
"OTU680","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","GQ337287.1.1463"
"OTU432","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673228.1.1451"
"OTU451","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673882.1.1474"
"OTU495","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU803003.1.1436"
"OTU1173","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ672488.1.1492"
"OTU760","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673662.1.1479"
"OTU1091","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ673649.1.1502"
"OTU428","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ672002.1.1448"
"OTU814","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ673975.1.1471"
"OTU156","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802532.1.1252"
"OTU607","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ674105.1.1523"
"OTU1445","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","JN166345.1.1477"
"OTU796","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ674035.1.1522"
"OTU783","Bacteria","Gemmatimonadetes","Gemmatimonadetes","BD2-11 terrestrial group","","","HQ674222.1.1525"
"OTU955","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ351150.1.1514"
"OTU765","Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26 marine group","","","HQ673627.1.1507"
"OTU801","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","GU553801.1.1400"
"OTU944","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673691.1.1522"
"OTU252","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802656.1.1455"
"OTU1287","Bacteria","Chloroflexi","SAR202 clade","","","","AY534100.1.1466"
"OTU366","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","GU940994.1.1354"
"OTU1253","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Sufflavibacter","EU880515.1.1503"
"OTU416","Bacteria","Chloroflexi","SAR202 clade","","","","HQ672805.1.1482"
"OTU1501","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Sufflavibacter","DQ396134.1.1533"
"OTU632","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","DQ396007.1.1499"
"OTU998","Archaea","Thaumarchaeota","Marine Group I","","","","AB193984.1.1441"
"OTU753","Archaea","Thaumarchaeota","Marine Group I","","","","JQ220653.1.915"
"OTU358","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","AB193901.1.1435"
"OTU1554","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured","DQ396014.1.1476"
"OTU827","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ674037.1.1480"
"OTU582","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","EU686588.13514.15011"
"OTU1145","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Mesonia","DQ367409.1.1434"
"OTU743","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673563.1.1480"
"OTU719","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ672912.1.1480"
"OTU2703","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Gramella","GU291860.1.1385"
"OTU1361","Bacteria","Chloroflexi","SAR202 clade","","","","GQ337234.1.1475"
"OTU797","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ673710.1.1445"
"OTU832","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673107.1.1420"
"OTU1773","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Zunongwangia","DQ396290.1.1472"
"OTU685","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ672544.1.1260"
"OTU723","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ672469.1.1437"
"OTU856","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ674197.1.1511"
"OTU974","Archaea","Thaumarchaeota","Marine Group I","","","","FJ002876.1.1276"
"OTU661","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","AM778450.1.1434"
"OTU1184","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","AF468351.1.1424"
"OTU1188","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","DQ396094.1.1483"
"OTU460","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AB193916.1.1438"
"OTU1118","Bacteria","Chloroflexi","SAR202 clade","","","","JQ678410.1.1465"
"OTU550","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672778.1.1523"
"OTU1212","Archaea","Thaumarchaeota","Marine Group I","","","","JQ221386.1.913"
"OTU546","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ673764.1.1437"
"OTU2245","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","AY258118.1.1416"
"OTU250","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EU802534.1.1442"
"OTU253","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802299.1.1228"
"OTU272","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","DQ009253.1.1978"
"OTU2516","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","AM944022.1.1520"
"OTU2026","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","GU361122.1.1487"
"OTU1381","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","AM180749.1.1518"
"OTU1581","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","AY188938.1.1501"
"OTU1567","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","AY726966.1.1272"
"OTU1505","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","EF151229.1.1453"
"OTU3256","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","AY723742.1.1419"
"OTU1737","Bacteria","Cyanobacteria","ML635J-21","","","","FJ155017.1.1491"
"OTU2004","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","GU061848.1.1488"
"OTU2283","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","FJ457286.1.1379"
"OTU578","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","AY664277.1.1248"
"OTU2521","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","FJ497422.1.1440"
"OTU377","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 2","","EU802911.1.1434"
"OTU2227","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","GU584161.1.1499"
"OTU2217","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","EF199931.1.1473"
"OTU1921","Bacteria","Chloroflexi","JG30-KF-CM66","","","","GQ346947.1.1325"
"OTU404","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU805172.1.1447"
