"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU1890","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EF646149.1.1472"
"OTU259","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","AACY020490277.719.2228"
"OTU254","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020563509.792.2305"
"OTU174","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY664015.1.1220"
"OTU536","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","NS7 marine group","DQ395552.1.1518"
"OTU1922","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","HM117554.1.1400"
"OTU434","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EU795215.10977.12472"
"OTU667","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","EU799550.1.1480"
"OTU1076","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","EU799855.1.1453"
"OTU506","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","GQ348141.1.1375"
"OTU707","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","FJ744819.1.1371"
"OTU365","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","EU800190.1.1369"
"OTU651","Bacteria","Proteobacteria","Alphaproteobacteria","OCS116 clade","","","EU919854.1.1457"
"OTU219","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","EU800186.1.1306"
"OTU1319","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","HQ672169.1.1454"
"OTU594","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU800040.1.1438"
"OTU407","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU234909.1.1324"
"OTU617","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU799834.1.1421"
"OTU907","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","FN433328.1.1525"
"OTU1763","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OCS155 marine group","","GQ346902.1.1366"
"OTU2771","Archaea","Thaumarchaeota","Marine Group I","Order Incertae Sedis","Family Incertae Sedis","Candidatus Nitrosopumilus","JQ225391.1.1340"
"OTU1429","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU394556.1.1501"
"OTU1154","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","JQ712062.1.1490"
"OTU849","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","AM747332.1.1244"
"OTU795","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus","EF574980.1.1467"
"OTU868","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","EU802820.1.1447"
"OTU752","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","EU799623.1.1467"
"OTU1822","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Ponticaulis","JN233106.1.1375"
"OTU260","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","EF574657.1.1483"
"OTU319","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","","EU802945.1.1378"
"OTU1762","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira","FJ826317.1.1453"
"OTU2056","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Owenweeksia","JF421214.1.1484"
"OTU296","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","GQ337163.1.1448"
"OTU155","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","JN547476.1.1428"
"OTU248","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802803.1.1440"
"OTU337","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802968.1.1439"
"OTU571","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Sufflavibacter","HQ673415.1.1504"
"OTU301","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EF572097.1.1449"
"OTU2470","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira","JX391777.1.1460"
"OTU471","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ672328.1.1435"
"OTU192","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY726917.1.1225"
"OTU3470","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","HQ696463.1.1494"
"OTU511","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EF572756.1.1449"
"OTU489","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","FR684345.1.1446"
"OTU534","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","EU802872.1.1478"
"OTU631","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","EF061430.1.1450"
"OTU808","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","GQ347099.1.1399"
"OTU422","Archaea","Thaumarchaeota","Marine Group I","","","","AB193967.1.1440"
"OTU1083","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ348168.1.1389"
"OTU993","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS2b marine group","DQ009434.1.2078"
"OTU527","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ163172.1.1373"
"OTU290","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","GQ337098.1.1445"
"OTU737","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","FJ980777.1.1485"
"OTU356","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673841.1.1523"
"OTU380","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ673916.1.1435"
"OTU1040","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","GQ347371.1.1373"
"OTU1072","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","FJ615186.1.1437"
"OTU405","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ673904.1.1436"
"OTU966","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","EU333882.1.1464"
"OTU891","Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26 marine group","","","EU686612.24178.25713"
"OTU1546","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","GU145517.1.1480"
"OTU1079","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","EU695223.1.1461"
"OTU850","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","ZD0405","","JQ678490.1.1491"
"OTU957","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HM799123.1.1429"
"OTU512","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802572.1.1439"
"OTU1007","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","AB125366.1.1479"
"OTU463","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ337204.1.1522"
"OTU551","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ375271.1.1521"
"OTU767","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672457.1.1520"
"OTU1112","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417 marine group","GQ351147.1.1502"
"OTU310","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group III","","EU686628.16674.18140"
"OTU786","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","GQ921469.1.1495"
"OTU977","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU799540.1.1504"
"OTU472","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ674623.1.1540"
"OTU940","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","JQ678431.1.1528"
"OTU836","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673734.1.1524"
"OTU1008","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ674572.1.1522"
"OTU713","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673390.1.1528"
"OTU200","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ674246.1.1475"
"OTU740","Bacteria","Chloroflexi","SAR202 clade","","","","HQ672793.1.1475"
"OTU1452","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","DQ396346.1.1452"
"OTU734","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673846.1.1521"
"OTU918","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","NS9 marine group","","JQ678468.1.1495"
"OTU1169","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Leptospirillum","FJ745009.1.1372"
"OTU355","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ163255.1.1374"
"OTU1159","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","ZD0405","","GQ346427.1.1433"
"OTU574","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ673163.1.1436"
"OTU806","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673908.1.1463"
"OTU33","Archaea","Thaumarchaeota","Marine Group I","","","","EU686623.12708.14181"
"OTU2082","Bacteria","Verrucomicrobia","Arctic97B-4 marine group","","","","DQ396294.1.1513"
"OTU1589","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","AY726848.1.1212"
"OTU564","Archaea","Thaumarchaeota","Marine Group I","","","","JQ221123.1.914"
"OTU619","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SUP05 cluster","","GQ350128.1.1378"
"OTU552","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ674579.1.1521"
"OTU642","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672861.1.1522"
"OTU271","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU803064.1.1484"
"OTU294","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","EF574626.1.1492"
"OTU899","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Fluviicola","AACY020544257.531.2038"
"OTU393","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802670.1.1499"
"OTU287","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","EF574788.1.1492"
"OTU810","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","AACY020329935.165.1672"
"OTU263","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU803169.1.1499"
"OTU515","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","EF573194.1.1484"
"OTU349","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","EF572123.1.1446"
"OTU238","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","KC002117.1.1316"
"OTU908","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","NS7 marine group","EF574837.1.1497"
"OTU350","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802831.1.1482"
"OTU497","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum","EF573122.1.1485"
"OTU746","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","FQ032826.22493.24014"
"OTU265","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EU802302.1.1503"
"OTU360","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","EU802901.1.1499"
"OTU188","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802434.1.1365"
"OTU205","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","GU061948.1.1441"
"OTU208","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802983.1.1388"
